round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
First,Stefan Koubek,2009,Stefan Koubek,Mikhail Youzhny,50,53,54,33,96,65
First,Ernests Gulbis,2009,Ernests Gulbis,Albert Montanes,59,55,37,26,80,62
First,Mario Ancic,2009,Mario Ancic,Wayne Odesnik,56,55,39,28,128,111
First,Fernando Verdasco,2009,Fernando Verdasco,Adrian Mannarino,53,31,58,28,86,45
First,Arnaud Clement,2009,Arnaud Clement,Sergiy Stakhovsky,47,47,44,43,146,139
First,Michael Berrer,2009,Michael Berrer,Carsten Ball,53,35,53,34,114,82
First,Andreas Beck,2009,Andreas Beck,Colin Ebelthite,67,28,55,31,92,59
First,Tommy Haas,2009,Tommy Haas,Eduardo Schwank,50,44,46,33,102,79
First,Denis Istomin,2009,Denis Istomin,Vince Spadea,50,39,51,33,101,73
First,Gael Monfils,2009,Gael Monfils,Martin Vassallo Arguello,42,40,51,37,117,91
First,Igor Andreev,2009,Igor Andreev,Peter Polansky,46,55,41,32,159,142
First,Sebastien de Chaunac,2009,Sebastien de Chaunac,Steve Darcis,47,53,43,39,114,105
First,Ivan Ljubicic,2009,Ivan Ljubicic,Igor Kunitsyn,46,37,41,37,180,173
First,Fabio Fognini,2009,Fabio Fognini,Andrey Golubev,53,61,37,32,136,127
Final,Roger Federer,2010,Roger Federer,Andy Murray,61,51,37,32,116,100
semi,Roger Federer,2010,Roger Federer,Jo-Wilfried Tsonga,68,39,41,22,85,54
semi,Andy Murray,2010,Andy Murray,Marin Cilic,57,44,39,31,125,106
quarter,Roger Federer,2010,Roger Federer,Nikolay Davydenko,49,39,47,39,125,104
quarter,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Novak Djokovic,48,49,36,39,158,155
quarter,Marin Cilic,2010,Marin Cilic,Andy Roddick,46,52,37,38,147,149
quarter,Andy Murray,2010,Andy Murray,Rafael Nadal,45,42,44,36,94,75
Fourth,Roger Federer,2010,Roger Federer,Lleyton Hewitt,66,45,44,28,102,77
Fourth,Nikolay Davydenko,2010,Nikolay Davydenko,Fernando Verdasco,57,45,35,35,171,157
Fourth,Novak Djokovic,2010,Novak Djokovic,Lukasz Kubot,70,31,44,23,92,58
Fourth,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Nicolas Almagro,63,53,30,24,174,160
Fourth,Andy Roddick,2010,Andy Roddick,Fernando Gonzalez,50,44,35,25,159,141
Fourth,Marin Cilic,2010,Marin Cilic,Juan Martin Del Potro,50,54,34,31,181,173
Fourth,Andy Murray,2010,Andy Murray,John Isner,65,29,42,22,108,71
Fourth,Rafael Nadal,2010,Rafael Nadal,Ivo Karlovic,73,62,27,23,107,101
Third,Roger Federer,2010,Roger Federer,Albert Montanes,56,64,38,22,96,74
Third,Lleyton Hewitt,2010,Lleyton Hewitt,Marcos Baghdatis,79,16,58,23,46,21
Third,Fernando Verdasco,2010,Fernando Verdasco,Stefan Koubek,50,13,63,22,24,9
Third,Nikolay Davydenko,2010,Nikolay Davydenko,Juan Monaco,59,52,51,31,87,58
Third,Novak Djokovic,2010,Novak Djokovic,Denis Istomin,45,26,67,35,87,49
Third,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Tommy Haas,56,56,36,29,116,100
Third,Nicolas Almagro,2010,Nicolas Almagro,Alejandro Falla,51,51,42,27,106,81
Third,Andy Roddick,2010,Andy Roddick,Feliciano Lopez,67,51,35,23,158,137
Third,Fernando Gonzalez,2010,Fernando Gonzalez,Evgeny Korolev,51,53,31,32,154,150
Third,Marin Cilic,2010,Marin Cilic,Stanislas Wawrinka,49,45,37,31,129,114
Third,Juan Martin Del Potro,2010,Juan Martin Del Potro,Florian Mayer,45,54,38,38,118,117
Third,Andy Murray,2010,Andy Murray,Florent Serra,56,48,49,29,102,72
Third,John Isner,2010,John Isner,Gael Monfils,53,52,35,28,139,118
Third,Ivo Karlovic,2010,Ivo Karlovic,Ivan Ljubicic,52,51,34,24,132,117
Third,Rafael Nadal,2010,Rafael Nadal,Philipp Kohlschreiber,51,48,39,37,137,129
Second,Roger Federer,2010,Roger Federer,Victor Hanescu,63,46,47,24,96,64
Second,Albert Montanes,2010,Albert Montanes,Stephane Robert,46,47,44,37,174,150
Second,Lleyton Hewitt,2010,Lleyton Hewitt,Donald Young,63,30,46,34,102,76
Second,Marcos Baghdatis,2010,Marcos Baghdatis,David Ferrer,54,53,41,34,166,154
Second,Fernando Verdasco,2010,Fernando Verdasco,Ivan Sergeyev,46,34,54,33,101,64
Second,Stefan Koubek,2010,Stefan Koubek,Ivan Dodig,55,50,42,26,102,76
Second,Juan Monaco,2010,Juan Monaco,Michael Llodra,57,45,42,39,152,137
Second,Nikolay Davydenko,2010,Nikolay Davydenko,Illya Marchenko,47,30,52,29,90,55
Second,Novak Djokovic,2010,Novak Djokovic,Marco Chiudinelli,33,42,48,38,124,103
Second,Denis Istomin,2010,Denis Istomin,Michael Berrer,55,57,43,31,107,88
Second,Mikhail Youzhny,2010,Mikhail Youzhny,Jan Hajek,50,33,53,25,85,45
Second,Lukasz Kubot,2010,Lukasz Kubot,Santiago Giraldo,49,38,46,33,136,110
Second,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Taylor Dent,61,47,39,25,91,67
Second,Tommy Haas,2010,Tommy Haas,Janko Tipsarevic,44,52,38,39,144,140
Second,Nicolas Almagro,2010,Nicolas Almagro,Benjamin Becker,67,55,32,26,135,121
Second,Alejandro Falla,2010,Alejandro Falla,Marcel Granollers,43,27,52,36,99,73
Second,Andy Roddick,2010,Andy Roddick,Thomaz Bellucci,75,47,40,23,102,75
Second,Feliciano Lopez,2010,Feliciano Lopez,Rainer Schuettler,59,44,39,35,117,102
Second,Evgeny Korolev,2010,Evgeny Korolev,Tomas Berdych,41,43,46,37,104,86
Second,Fernando Gonzalez,2010,Fernando Gonzalez,Marsel Ilhan,51,59,41,26,109,84
Second,Marin Cilic,2010,Marin Cilic,Bernard Tomic,57,45,41,33,185,161
Second,Stanislas Wawrinka,2010,Stanislas Wawrinka,Igor Kunitsyn,41,47,44,33,92,70
Second,Florian Mayer,2010,Florian Mayer,Viktor Troicki,62,43,34,31,129,114
Second,Juan Martin Del Potro,2010,Juan Martin Del Potro,James Blake,43,48,38,35,205,200
Second,Andy Murray,2010,Andy Murray,Marc Gicquel,57,39,47,34,100,76
Second,Florent Serra,2010,Florent Serra,Jarkko Nieminen,56,54,38,38,195,199
Second,John Isner,2010,John Isner,Louk Sorensen,68,50,24,27,99,94
Second,Gael Monfils,2010,Gael Monfils,Antonio Veic,45,45,45,35,103,85
Second,Ivo Karlovic,2010,Ivo Karlovic,Julien Benneteau,49,51,40,30,112,89
Second,Ivan Ljubicic,2010,Ivan Ljubicic,Andrey Golubev,58,53,37,28,126,104
Second,Philipp Kohlschreiber,2010,Philipp Kohlschreiber,Wayne Odesnik,43,53,38,34,133,117
Second,Rafael Nadal,2010,Rafael Nadal,Lukas Lacko,69,35,52,29,89,55
First,Roger Federer,2010,Roger Federer,Igor Andreev,51,37,48,34,135,103
First,Victor Hanescu,2010,Victor Hanescu,Juan Ignacio Chela,56,38,47,34,126,96
First,Stephane Robert,2010,Stephane Robert,Potito Starace,58,51,39,32,134,110
First,Albert Montanes,2010,Albert Montanes,Oscar Hernandez,63,53,42,27,64,53
First,Lleyton Hewitt,2010,Lleyton Hewitt,Ricardo Hocevar,64,36,44,20,88,58
First,Donald Young,2010,Donald Young,Christophe Rochus,48,40,41,38,126,112
First,Marcos Baghdatis,2010,Marcos Baghdatis,Paolo Lorenzi,68,43,44,24,102,71
First,David Ferrer,2010,David Ferrer,Frederico Gil,73,21,70,22,61,21
First,Fernando Verdasco,2010,Fernando Verdasco,Carsten Ball,45,58,37,29,161,138
First,Ivan Sergeyev,2010,Ivan Sergeyev,Dudi Sela,51,52,39,36,157,147
First,Stefan Koubek,2010,Stefan Koubek,Rajeev Ram,64,48,37,32,160,144
First,Ivan Dodig,2010,Ivan Dodig,Juan Carlos Ferrero,46,42,40,40,133,132
First,Juan Monaco,2010,Juan Monaco,Ernests Gulbis,52,38,47,37,113,87
First,Michael Llodra,2010,Michael Llodra,Martin Vassallo Arguello,60,45,42,29,115,93
First,Illya Marchenko,2010,Illya Marchenko,Carlos Moya,53,49,41,33,118,99
First,Nikolay Davydenko,2010,Nikolay Davydenko,Dieter Kindlmann,63,28,57,34,89,52
First,Novak Djokovic,2010,Novak Djokovic,Daniel Gimeno-Traver,57,33,42,28,103,78
First,Marco Chiudinelli,2010,Marco Chiudinelli,Marinko Matosevic,51,59,39,36,142,134
