round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
First,Tomas Berdych,2011,Tomas Berdych,Marco Crugnola,42,32,47,29,88,58
First,Philipp Kohlschreiber,2011,Philipp Kohlschreiber,Tobias Kamke,54,54,35,40,160,176
First,Adrian Mannarino,2011,Adrian Mannarino,Ryan Harrison,53,55,41,28,95,77
First,Richard Gasquet,2011,Richard Gasquet,Frank Dancevic,63,47,46,30,99,77
First,Florian Mayer,2011,Florian Mayer,Nikolay Davydenko,62,43,37,33,148,138
First,Kei Nishikori,2011,Kei Nishikori,Fabio Fognini,50,43,43,36,142,122
First,Janko Tipsarevic,2011,Janko Tipsarevic,Mischa Zverev,46,34,44,30,107,82
First,Fernando Verdasco,2011,Fernando Verdasco,Rainer Schuettler,58,35,46,25,94,63
First,Nicolas Almagro,2011,Nicolas Almagro,Stephane Robert,54,48,36,30,147,126
First,Igor Andreev,2011,Igor Andreev,Filippo Volandri,38,35,48,41,119,98
First,Benoit Paire,2011,Benoit Paire,Flavio Cipolla,53,41,44,29,101,75
First,Ivan Ljubicic,2011,Ivan Ljubicic,Peter Luczak,64,43,39,23,118,91
First,Viktor Troicki,2011,Viktor Troicki,Dmitry Tursunov,59,43,47,33,116,88
First,Nicolas Mahut,2011,Nicolas Mahut,Brian Dabul,46,71,37,29,92,76
First,Ivan Dodig,2011,Ivan Dodig,Ivo Karlovic,70,54,27,20,146,138
First,Novak Djokovic,2011,Novak Djokovic,Marcel Granollers,68,24,53,27,84,47
First,Andy Roddick,2011,Andy Roddick,Jan Hajek,54,35,49,28,91,57
First,Igor Kunitsyn,2011,Igor Kunitsyn,Michal Przysiezny,56,42,42,38,154,140
First,Robin Haase,2011,Robin Haase,Carlos Berlocq,60,46,40,31,112,92
First,Juan Monaco,2011,Juan Monaco,Simon Greul,48,42,47,38,128,105
First,Stanislas Wawrinka,2011,Stanislas Wawrinka,Teimuraz Gabashvili,55,55,37,31,116,102
First,Grigor Dimitrov,2011,Grigor Dimitrov,Andrey Golubev,77,43,47,22,96,61
First,Frederico Gil,2011,Frederico Gil,Pablo Cuevas,51,48,41,38,198,184
First,Gael Monfils,2011,Gael Monfils,Thiemo de Bakker,49,40,44,33,174,148
First,Mardy Fish,2011,Mardy Fish,Victor Hanescu,50,54,36,34,143,141
First,Tommy Robredo,2011,Tommy Robredo,Somdev Devvarman,60,42,39,32,114,97
First,Sergiy Stakhovsky,2011,Sergiy Stakhovsky,Daniel Brands,52,19,45,31,88,63
First,Lukasz Kubot,2011,Lukasz Kubot,Sam Querrey,41,51,40,34,175,158
First,Albert Montanes,2011,Albert Montanes,Dustin Brown,70,31,36,31,157,149
First,Xavier Malisse,2011,Xavier Malisse,Pablo Andujar,66,54,47,32,92,69
First,Gilles Simon,2011,Gilles Simon,Yen-Hsun Lu,59,46,41,31,138,113
First,Roger Federer,2011,Roger Federer,Lukas Lacko,67,22,52,20,91,51
Final,Novak Djokovic,2012,Novak Djokovic,Rafael Nadal,63,45,41,34,193,176
semi,Novak Djokovic,2012,Novak Djokovic,Andy Murray,45,30,49,42,184,161
semi,Rafael Nadal,2012,Rafael Nadal,Roger Federer,63,55,38,33,146,130
quarter,Novak Djokovic,2012,Novak Djokovic,David Ferrer,67,50,43,31,105,84
quarter,Andy Murray,2012,Andy Murray,Kei Nishikori,58,37,53,33,104,71
quarter,Roger Federer,2012,Roger Federer,Juan Martin Del Potro,58,55,44,25,96,68
quarter,Rafael Nadal,2012,Rafael Nadal,Tomas Berdych,49,45,37,32,157,147
Fourth,Novak Djokovic,2012,Novak Djokovic,Lleyton Hewitt,56,36,47,33,126,100
Fourth,David Ferrer,2012,David Ferrer,Richard Gasquet,37,50,49,32,90,65
Fourth,Andy Murray,2012,Andy Murray,Mikhail Kukushkin,58,50,64,35,52,25
Fourth,Kei Nishikori,2012,Kei Nishikori,Jo-Wilfried Tsonga,53,42,42,36,141,128
Fourth,Juan Martin Del Potro,2012,Juan Martin Del Potro,Philipp Kohlschreiber,56,23,53,29,95,61
Fourth,Roger Federer,2012,Roger Federer,Bernard Tomic,56,38,48,28,101,70
Fourth,Tomas Berdych,2012,Tomas Berdych,Nicolas Almagro,59,58,32,26,161,145
Fourth,Rafael Nadal,2012,Rafael Nadal,Feliciano Lopez,64,38,46,23,105,75
Third,Novak Djokovic,2012,Novak Djokovic,Nicolas Mahut,70,22,61,21,81,37
Third,Lleyton Hewitt,2012,Lleyton Hewitt,Milos Raonic,54,52,35,35,129,122
Third,Richard Gasquet,2012,Richard Gasquet,Janko Tipsarevic,74,47,51,28,87,56
Third,David Ferrer,2012,David Ferrer,Juan Ignacio Chela,55,26,57,39,100,70
Third,Andy Murray,2012,Andy Murray,Michael Llodra,71,18,51,30,94,61
Third,Mikhail Kukushkin,2012,Mikhail Kukushkin,Gael Monfils,47,38,45,42,158,149
Third,Kei Nishikori,2012,Kei Nishikori,Julien Benneteau,50,42,46,37,148,129
Third,Jo-Wilfried Tsonga,2012,Jo-Wilfried Tsonga,Frederico Gil,63,60,49,26,85,53
Third,Philipp Kohlschreiber,2012,Philipp Kohlschreiber,Alejandro Falla,64,39,44,28,110,81
Third,Juan Martin Del Potro,2012,Juan Martin Del Potro,Yen-Hsun Lu,58,36,52,27,79,48
Third,Bernard Tomic,2012,Bernard Tomic,Alexandr Dolgopolov,56,53,36,39,174,174
Third,Roger Federer,2012,Roger Federer,Ivo Karlovic,74,34,36,22,120,98
Third,Tomas Berdych,2012,Tomas Berdych,Kevin Anderson,64,41,39,27,124,102
Third,Nicolas Almagro,2012,Nicolas Almagro,Stanislas Wawrinka,63,47,47,32,116,90
Third,Feliciano Lopez,2012,Feliciano Lopez,John Isner,64,44,35,29,160,140
Third,Rafael Nadal,2012,Rafael Nadal,Lukas Lacko,46,42,46,22,89,57
Second,Novak Djokovic,2012,Novak Djokovic,Santiago Giraldo,66,31,52,26,86,52
Second,Nicolas Mahut,2012,Nicolas Mahut,Tatsuma Ito,37,44,45,45,123,123
Second,Milos Raonic,2012,Milos Raonic,Philipp Petzschner,54,40,39,32,136,122
Second,Lleyton Hewitt,2012,Lleyton Hewitt,Andy Roddick,52,54,37,31,88,81
Second,Janko Tipsarevic,2012,Janko Tipsarevic,James Duckworth,61,44,41,29,135,115
Second,Richard Gasquet,2012,Richard Gasquet,Andrey Golubev,50,46,54,33,84,58
Second,Juan Ignacio Chela,2012,Juan Ignacio Chela,Pablo Andujar,52,39,54,43,103,82
Second,David Ferrer,2012,David Ferrer,Ryan Sweeting,54,45,43,37,155,137
Second,Andy Murray,2012,Andy Murray,Edouard Roger-Vasselin,60,43,44,23,101,71
Second,Michael Llodra,2012,Michael Llodra,Alex Jr. Bogomolov,48,34,47,41,151,135
Second,Mikhail Kukushkin,2012,Mikhail Kukushkin,Viktor Troicki,55,53,42,35,154,138
Second,Gael Monfils,2012,Gael Monfils,Thomaz Bellucci,49,42,47,39,121,103
Second,Julien Benneteau,2012,Julien Benneteau,Gilles Simon,50,48,42,42,163,165
Second,Kei Nishikori,2012,Kei Nishikori,Matthew Ebden,52,40,42,42,127,126
Second,Frederico Gil,2012,Frederico Gil,Marcel Granollers,58,40,42,34,124,108
Second,Jo-Wilfried Tsonga,2012,Jo-Wilfried Tsonga,Ricardo Mello,52,51,41,32,102,86
Second,Alejandro Falla,2012,Alejandro Falla,Mardy Fish,58,49,43,38,116,102
Second,Philipp Kohlschreiber,2012,Philipp Kohlschreiber,Pere Riba,50,24,67,19,45,17
Second,Yen-Hsun Lu,2012,Yen-Hsun Lu,Florent Serra,71,44,46,16,106,68
Second,Juan Martin Del Potro,2012,Juan Martin Del Potro,Blaz Kavcic,48,32,48,34,109,86
Second,Alexandr Dolgopolov,2012,Alexandr Dolgopolov,Tobias Kamke,43,55,44,37,163,143
Second,Bernard Tomic,2012,Bernard Tomic,Sam Querrey,66,40,32,27,125,112
Second,Ivo Karlovic,2012,Ivo Karlovic,Carlos Berlocq,62,46,35,31,139,131
Second,Tomas Berdych,2012,Tomas Berdych,Olivier Rochus,58,53,43,23,94,64
Second,Kevin Anderson,2012,Kevin Anderson,Sergiy Stakhovsky,50,56,35,31,119,107
Second,Stanislas Wawrinka,2012,Stanislas Wawrinka,Marcos Baghdatis,49,45,48,39,146,124
Second,Nicolas Almagro,2012,Nicolas Almagro,Grigor Dimitrov,63,39,42,33,163,138
Second,John Isner,2012,John Isner,David Nalbandian,51,58,33,36,181,187
Second,Feliciano Lopez,2012,Feliciano Lopez,Flavio Cipolla,50,56,46,37,111,92
Second,Lukas Lacko,2012,Lukas Lacko,Donald Young,64,48,41,31,116,94
Second,Rafael Nadal,2012,Rafael Nadal,Tommy Haas,55,46,45,33,96,78
First,Novak Djokovic,2012,Novak Djokovic,Paolo Lorenzi,47,7,67,34,82,41
First,Santiago Giraldo,2012,Santiago Giraldo,Matteo Viola,71,36,53,26,88,54
First,Tatsuma Ito,2012,Tatsuma Ito,Potito Starace,55,60,34,30,113,102
First,Nicolas Mahut,2012,Nicolas Mahut,Radek Stepanek,38,42,46,38,116,97
First,Milos Raonic,2012,Milos Raonic,Filippo Volandri,58,45,50,26,93,60
First,Philipp Petzschner,2012,Philipp Petzschner,Lukas Rosol,50,30,62,29,91,48
First,Lleyton Hewitt,2012,Lleyton Hewitt,Cedrik-Marcel Stebe,49,50,40,36,144,137
First,Andy Roddick,2012,Andy Roddick,Robin Haase,64,38,47,29,91,63
First,Janko Tipsarevic,2012,Janko Tipsarevic,Dmitry Tursunov,56,50,35,26,146,128
First,James Duckworth,2012,James Duckworth,Jurgen Zopp,58,48,40,29,94,72
First,Andrey Golubev,2012,Andrey Golubev,Mikhail Youzhny,42,43,45,43,196,189
First,Richard Gasquet,2012,Richard Gasquet,Andreas Seppi,44,45,47,34,117,93
First,Juan Ignacio Chela,2012,Juan Ignacio Chela,Michael Russell,61,47,47,38,128,106
First,Pablo Andujar,2012,Pablo Andujar,Igor Kunitsyn,39,31,55,40,102,75
First,Ryan Sweeting,2012,Ryan Sweeting,Matthias Bachinger,58,47,39,23,98,75
First,David Ferrer,2012,David Ferrer,Rui Machado,50,41,53,29,91,58
First,Andy Murray,2012,Andy Murray,Ryan Harrison,60,48,41,34,129,113
First,Edouard Roger-Vasselin,2012,Edouard Roger-Vasselin,Xavier Malisse,67,46,39,28,53,47
First,Michael Llodra,2012,Michael Llodra,Ernests Gulbis,56,40,45,33,110,86
First,Alex Jr. Bogomolov,2012,Alex Jr. Bogomolov,Daniel Gimeno-Traver,56,42,51,31,112,81
First,Viktor Troicki,2012,Viktor Troicki,Juan Carlos Ferrero,49,59,37,32,170,154
First,Mikhail Kukushkin,2012,Mikhail Kukushkin,Guillermo Garcia-Lopez,67,50,47,28,90,62
First,Thomaz Bellucci,2012,Thomaz Bellucci,Dudi Sela,58,50,42,31,118,100
First,Gael Monfils,2012,Gael Monfils,Marinko Matosevic,51,37,47,38,122,102
First,Gilles Simon,2012,Gilles Simon,Danai Udomchoke,63,49,46,35,150,121
First,Julien Benneteau,2012,Julien Benneteau,Karol Beck,74,51,43,29,98,75
First,Matthew Ebden,2012,Matthew Ebden,Joao Souza,52,41,45,27,114,85
First,Kei Nishikori,2012,Kei Nishikori,Stephane Robert,48,34,52,31,107,71
First,Marcel Granollers,2012,Marcel Granollers,Jesse Levine,47,45,40,30,173,148
First,Frederico Gil,2012,Frederico Gil,Ivan Dodig,64,26,55,36,94,64
First,Ricardo Mello,2012,Ricardo Mello,Roberto Bautista-Agut,55,37,49,37,122,100
First,Jo-Wilfried Tsonga,2012,Jo-Wilfried Tsonga,Denis Istomin,56,54,39,37,120,112
First,Mardy Fish,2012,Mardy Fish,Gilles Muller,64,45,39,19,97,73
First,Alejandro Falla,2012,Alejandro Falla,Fabio Fognini,53,38,47,37,130,107
First,Pere Riba,2012,Pere Riba,Albert Montanes,48,49,40,39,143,145
First,Philipp Kohlschreiber,2012,Philipp Kohlschreiber,Juan Monaco,59,50,42,31,163,134
First,Yen-Hsun Lu,2012,Yen-Hsun Lu,Rik de Voest,46,52,38,35,137,130
First,Florent Serra,2012,Florent Serra,Steve Darcis,50,48,39,45,99,110
First,Blaz Kavcic,2012,Blaz Kavcic,James Ward,50,45,45,36,99,78
First,Juan Martin Del Potro,2012,Juan Martin Del Potro,Adrian Mannarino,40,34,42,40,125,114
First,Alexandr Dolgopolov,2012,Alexandr Dolgopolov,Greg Jones,57,38,45,30,119,94
First,Tobias Kamke,2012,Tobias Kamke,Victor Hanescu,62,38,57,32,99,62
First,Sam Querrey,2012,Sam Querrey,Kenny de Schepper,50,35,46,27,92,60
First,Bernard Tomic,2012,Bernard Tomic,Fernando Verdasco,53,49,40,36,181,168
First,Ivo Karlovic,2012,Ivo Karlovic,Jurgen Melzer,43,44,38,32,110,96
First,Carlos Berlocq,2012,Carlos Berlocq,Jesse Huta Galung,36,40,40,39,127,122
First,Andreas Beck,2012,Andreas Beck,Eric Prodon,49,68,41,36,133,120
First,Roger Federer,2012,Roger Federer,Alexander Kudryavtsev,56,40,49,29,106,70
First,Tomas Berdych,2012,Tomas Berdych,Albert Ramos,52,52,39,29,124,102
First,Olivier Rochus,2012,Olivier Rochus,Bjorn Phau,67,41,57,25,87,44
First,Sergiy Stakhovsky,2012,Sergiy Stakhovsky,Illya Marchenko,52,43,43,39,198,177
First,Kevin Anderson,2012,Kevin Anderson,Frederik Nielsen,55,34,51,33,99,67
First,Stanislas Wawrinka,2012,Stanislas Wawrinka,Benoit Paire,62,29,53,34,109,72
First,Marcos Baghdatis,2012,Marcos Baghdatis,Benjamin Becker,59,37,43,26,93,66
First,Grigor Dimitrov,2012,Grigor Dimitrov,Jeremy Chardy,52,48,34,35,148,148
First,Nicolas Almagro,2012,Nicolas Almagro,Lukasz Kubot,47,47,40,35,138,127
First,John Isner,2012,John Isner,Benjamin Mitchell,50,51,36,26,106,88
First,David Nalbandian,2012,David Nalbandian,Jarkko Nieminen,63,55,52,41,56,46
First,Flavio Cipolla,2012,Flavio Cipolla,Nikolay Davydenko,53,44,50,45,144,129
First,Feliciano Lopez,2012,Feliciano Lopez,Leonardo Mayer,56,52,37,32,132,115
First,Lukas Lacko,2012,Lukas Lacko,Ivan Ljubicic,64,52,34,25,137,121
First,Donald Young,2012,Donald Young,Peter Gojowczyk,52,43,49,38,132,108
First,Tommy Haas,2012,Tommy Haas,Denis Kudla,61,48,38,24,132,110
First,Rafael Nadal,2012,Rafael Nadal,Alex Kuznetsov,65,46,52,21,88,49
Final,Novak Djokovic,2013,Novak Djokovic,Andy Murray,66,46,33,28,139,126
semi,Andy Murray,2013,Andy Murray,Roger Federer,63,42,39,29,177,151
semi,Novak Djokovic,2013,Novak Djokovic,David Ferrer,79,30,55,14,85,41
quarter,Andy Murray,2013,Andy Murray,Jeremy Chardy,29,20,53,36,89,63
quarter,Roger Federer,2013,Roger Federer,Jo-Wilfried Tsonga,56,47,34,31,169,164
quarter,Novak Djokovic,2013,Novak Djokovic,Tomas Berdych,63,42,44,27,118,86
quarter,David Ferrer,2013,David Ferrer,Nicolas Almagro,50,47,41,35,165,150
Fourth,Roger Federer,2013,Roger Federer,Milos Raonic,75,50,36,15,101,73
Fourth,Jeremy Chardy,2013,Jeremy Chardy,Andreas Seppi,47,36,43,34,133,110
Fourth,Jo-Wilfried Tsonga,2013,Jo-Wilfried Tsonga,Richard Gasquet,56,49,34,30,109,99
Fourth,Andy Murray,2013,Andy Murray,Gilles Simon,58,30,52,30,91,62
Fourth,David Ferrer,2013,David Ferrer,Kei Nishikori,48,32,55,38,112,79
Fourth,Tomas Berdych,2013,Tomas Berdych,Kevin Anderson,54,43,42,33,122,101
Fourth,Nicolas Almagro,2013,Nicolas Almagro,Janko Tipsarevic,62,32,54,26,57,32
Fourth,Novak Djokovic,2013,Novak Djokovic,Stanislas Wawrinka,55,52,38,34,209,200
Third,Gilles Simon,2013,Gilles Simon,Gael Monfils,54,43,41,45,169,179
Third,Roger Federer,2013,Roger Federer,Bernard Tomic,45,42,40,25,120,96
Third,Milos Raonic,2013,Milos Raonic,Philipp Kohlschreiber,77,64,32,20,99,81
Third,Andreas Seppi,2013,Andreas Seppi,Marin Cilic,43,41,42,41,152,146
Third,Jo-Wilfried Tsonga,2013,Jo-Wilfried Tsonga,Blaz Kavcic,65,58,53,28,89,54
Third,Richard Gasquet,2013,Richard Gasquet,Ivan Dodig,49,47,42,29,127,99
Third,Jeremy Chardy,2013,Jeremy Chardy,Juan Martin Del Potro,52,51,34,33,157,151
Third,Andy Murray,2013,Andy Murray,Richard Berankis,38,41,47,39,110,91
Third,Tomas Berdych,2013,Tomas Berdych,Jurgen Melzer,63,39,49,25,97,61
Third,David Ferrer,2013,David Ferrer,Marcos Baghdatis,58,52,47,35,91,70
Third,Stanislas Wawrinka,2013,Stanislas Wawrinka,Sam Querrey,57,44,32,29,111,105
Third,Novak Djokovic,2013,Novak Djokovic,Radek Stepanek,66,42,39,21,109,83
Third,Kevin Anderson,2013,Kevin Anderson,Fernando Verdasco,46,55,36,31,160,149
Third,Kei Nishikori,2013,Kei Nishikori,Evgeny Donskoy,65,41,43,27,111,78
Third,Janko Tipsarevic,2013,Janko Tipsarevic,Julien Benneteau,70,53,34,32,138,136
Third,Nicolas Almagro,2013,Nicolas Almagro,Jerzy Janowicz,73,41,31,20,103,84
Second,Gael Monfils,2013,Gael Monfils,Yen-Hsun Lu,42,46,35,38,159,167
Second,Marin Cilic,2013,Marin Cilic,Rajeev Ram,67,41,40,20,99,71
Second,Ivan Dodig,2013,Ivan Dodig,Jarkko Nieminen,49,49,35,30,177,149
Second,Blaz Kavcic,2013,Blaz Kavcic,James Duckworth,47,44,39,34,200,180
Second,Jeremy Chardy,2013,Jeremy Chardy,Marcel Granollers,48,45,40,29,112,86
Second,Richard Berankis,2013,Richard Berankis,Florian Mayer,69,27,49,24,88,54
Second,Milos Raonic,2013,Milos Raonic,Lukas Rosol,59,50,42,23,102,75
Second,Bernard Tomic,2013,Bernard Tomic,Daniel Brands,59,65,28,26,153,154
Second,Gilles Simon,2013,Gilles Simon,Jesse Levine,50,47,40,35,135,121
Second,Andy Murray,2013,Andy Murray,Joao Sousa,66,45,44,26,91,63
Second,Juan Martin Del Potro,2013,Juan Martin Del Potro,Benjamin Becker,50,42,44,23,93,61
Second,Philipp Kohlschreiber,2013,Philipp Kohlschreiber,Amir Weintraub,66,50,35,19,104,78
Second,Jo-Wilfried Tsonga,2013,Jo-Wilfried Tsonga,Go Soeda,57,57,33,28,98,80
Second,Roger Federer,2013,Roger Federer,Nikolay Davydenko,66,47,42,27,111,86
Second,Richard Gasquet,2013,Richard Gasquet,Alejandro Falla,62,24,51,28,93,60
Second,Andreas Seppi,2013,Andreas Seppi,Denis Istomin,65,58,31,28,190,184
Second,Kei Nishikori,2013,Kei Nishikori,Carlos Berlocq,50,36,45,34,107,81
Second,Tomas Berdych,2013,Tomas Berdych,Guillaume Rufin,63,32,44,27,101,73
Second,David Ferrer,2013,David Ferrer,Tim Smyczek,56,39,45,32,128,101
Second,Julien Benneteau,2013,Julien Benneteau,Edouard Roger-Vasselin,55,45,42,37,163,152
Second,Jurgen Melzer,2013,Jurgen Melzer,Roberto Bautista-Agut,64,61,34,31,174,157
Second,Radek Stepanek,2013,Radek Stepanek,Feliciano Lopez,50,35,43,29,92,70
Second,Stanislas Wawrinka,2013,Stanislas Wawrinka,Tobias Kamke,45,47,42,37,90,82
Second,Marcos Baghdatis,2013,Marcos Baghdatis,Tatsuma Ito,62,45,42,31,113,96
Second,Sam Querrey,2013,Sam Querrey,Brian Baker,53,61,32,35,47,53
Second,Evgeny Donskoy,2013,Evgeny Donskoy,Mikhail Youzhny,57,57,37,30,162,151
Second,Jerzy Janowicz,2013,Jerzy Janowicz,Somdev Devvarman,45,47,43,37,172,157
Second,Kevin Anderson,2013,Kevin Anderson,Andrey Kuznetsov,50,46,41,28,101,76
Second,Novak Djokovic,2013,Novak Djokovic,Ryan Harrison,87,36,51,14,94,52
Second,Janko Tipsarevic,2013,Janko Tipsarevic,Lukas Lacko,51,50,35,35,155,156
Second,Fernando Verdasco,2013,Fernando Verdasco,Xavier Malisse,62,30,55,34,99,66
Second,Nicolas Almagro,2013,Nicolas Almagro,Daniel Gimeno-Traver,50,43,42,31,93,68
First,James Duckworth,2013,James Duckworth,Benjamin Mitchell,44,54,36,34,208,199
First,Bernard Tomic,2013,Bernard Tomic,Leonardo Mayer,64,42,42,19,82,52
First,Amir Weintraub,2013,Amir Weintraub,Guido Pella,52,50,39,30,109,86
First,Jesse Levine,2013,Jesse Levine,Tommy Robredo,52,58,30,34,142,146
First,Jeremy Chardy,2013,Jeremy Chardy,Adrian Menendez-Maceiras,42,43,42,30,146,119
First,Juan Martin Del Potro,2013,Juan Martin Del Potro,Adrian Mannarino,79,40,48,17,80,39
First,Daniel Brands,2013,Daniel Brands,Martin Klizan,64,59,31,22,105,89
First,Marin Cilic,2013,Marin Cilic,Marinko Matosevic,60,50,37,30,109,86
First,Gael Monfils,2013,Gael Monfils,Alexandr Dolgopolov,44,53,38,29,145,128
First,Ivan Dodig,2013,Ivan Dodig,Di Wu,52,46,42,39,139,128
First,Lukas Rosol,2013,Lukas Rosol,Jamie Baker,63,42,39,29,110,94
First,Gilles Simon,2013,Gilles Simon,Filippo Volandri,67,50,46,32,109,86
First,Jo-Wilfried Tsonga,2013,Jo-Wilfried Tsonga,Michael Llodra,60,58,36,24,96,74
First,Benjamin Becker,2013,Benjamin Becker,Aljaz Bedene,49,48,41,36,142,131
First,Milos Raonic,2013,Milos Raonic,Jan Hajek,63,52,41,24,133,102
First,Go Soeda,2013,Go Soeda,Luke Saville,54,48,46,35,142,108
First,Denis Istomin,2013,Denis Istomin,Igor Sijsling,70,53,40,27,119,98
First,Andy Murray,2013,Andy Murray,Robin Haase,50,38,53,33,85,56
First,Andreas Seppi,2013,Andreas Seppi,Horacio Zeballos,61,50,41,24,86,62
First,Blaz Kavcic,2013,Blaz Kavcic,Thomaz Bellucci,54,37,45,34,98,73
First,Joao Sousa,2013,Joao Sousa,John-Patrick Smith,62,52,46,32,97,73
First,Roger Federer,2013,Roger Federer,Benoit Paire,60,33,44,25,95,63
First,Jarkko Nieminen,2013,Jarkko Nieminen,Tommy Haas,50,57,35,36,182,179
First,Nikolay Davydenko,2013,Nikolay Davydenko,Dudi Sela,64,48,43,38,133,118
First,Richard Gasquet,2013,Richard Gasquet,Albert Montanes,63,38,44,22,95,63
First,Philipp Kohlschreiber,2013,Philipp Kohlschreiber,Steve Darcis,46,57,38,23,90,66
First,Yen-Hsun Lu,2013,Yen-Hsun Lu,Ruben Ramirez-Hidalgo,71,32,46,25,106,67
First,Florian Mayer,2013,Florian Mayer,Rhyne Williams,46,46,34,34,150,148
First,Marcel Granollers,2013,Marcel Granollers,Grega Zemlja,78,43,41,29,101,82
First,Rajeev Ram,2013,Rajeev Ram,Guillermo Garcia-Lopez,50,46,39,33,125,109
First,Alejandro Falla,2013,Alejandro Falla,Josselin Ouanna,55,44,35,32,117,103
First,Richard Berankis,2013,Richard Berankis,Sergiy Stakhovsky,64,58,37,25,118,98
First,Tobias Kamke,2013,Tobias Kamke,Flavio Cipolla,58,32,52,37,96,64
First,Marcos Baghdatis,2013,Marcos Baghdatis,Albert Ramos,49,41,36,37,185,186
First,Nicolas Almagro,2013,Nicolas Almagro,Steve Johnson,64,37,36,26,175,144
First,Sam Querrey,2013,Sam Querrey,Daniel Munoz-De La Nava,61,54,34,25,130,111
First,Somdev Devvarman,2013,Somdev Devvarman,Bjorn Phau,59,39,47,36,97,75
First,Lukas Lacko,2013,Lukas Lacko,Gilles Muller,54,44,36,25,108,84
First,Novak Djokovic,2013,Novak Djokovic,Paul-Henri Mathieu,75,39,37,19,95,68
First,Tim Smyczek,2013,Tim Smyczek,Ivo Karlovic,55,51,33,27,113,101
First,Kevin Anderson,2013,Kevin Anderson,Paolo Lorenzi,55,43,35,31,137,124
First,Tatsuma Ito,2013,Tatsuma Ito,John Millman,48,43,39,43,153,165
First,Evgeny Donskoy,2013,Evgeny Donskoy,Adrian Ungur,53,39,41,29,108,82
First,Jerzy Janowicz,2013,Jerzy Janowicz,Simone Bolelli,43,53,43,33,108,89
First,Ryan Harrison,2013,Ryan Harrison,Santiago Giraldo,59,43,40,35,128,119
First,Radek Stepanek,2013,Radek Stepanek,Viktor Troicki,53,44,41,37,175,164
First,Andrey Kuznetsov,2013,Andrey Kuznetsov,Juan Monaco,47,48,58,40,101,72
First,Roberto Bautista-Agut,2013,Roberto Bautista-Agut,Fabio Fognini,58,45,44,36,134,117
First,Edouard Roger-Vasselin,2013,Edouard Roger-Vasselin,Ruben Bemelmans,47,54,38,38,204,210
First,Kei Nishikori,2013,Kei Nishikori,Victor Hanescu,56,46,41,32,133,111
First,Julien Benneteau,2013,Julien Benneteau,Grigor Dimitrov,57,56,44,25,100,74
First,Xavier Malisse,2013,Xavier Malisse,Pablo Andujar,67,32,46,26,95,63
First,Janko Tipsarevic,2013,Janko Tipsarevic,Lleyton Hewitt,49,43,44,33,128,106
First,David Ferrer,2013,David Ferrer,Olivier Rochus,65,47,45,27,91,65
First,Fernando Verdasco,2013,Fernando Verdasco,David Goffin,53,44,36,33,142,128
First,Jurgen Melzer,2013,Jurgen Melzer,Mikhail Kukushkin,57,39,55,26,88,48
First,Feliciano Lopez,2013,Feliciano Lopez,Arnau Brugues-Davi,59,55,39,21,91,65
First,Brian Baker,2013,Brian Baker,Alex Jr. Bogomolov,47,48,41,36,173,162
First,Stanislas Wawrinka,2013,Stanislas Wawrinka,Cedrik-Marcel Stebe,70,63,41,27,90,64
First,Carlos Berlocq,2013,Carlos Berlocq,Maxime Authom,50,50,37,34,141,134
First,Daniel Gimeno-Traver,2013,Daniel Gimeno-Traver,Lukasz Kubot,47,36,40,37,156,145
First,Tomas Berdych,2013,Tomas Berdych,Michael Russell,60,38,44,32,104,81
First,Guillaume Rufin,2013,Guillaume Rufin,Julian Reister,54,41,46,37,130,108
Final,Roger Federer,2004,Roger Federer,Marat Safin,60,47,45,32,113,93
semi,Roger Federer,2004,Roger Federer,Juan Carlos Ferrero,43,53,39,28,88,66
semi,Marat Safin,2004,Marat Safin,Andre Agassi,56,52,34,32,170,171
quarter,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Hicham Arazi,56,56,32,34,148,154
quarter,Roger Federer,2004,Roger Federer,David Nalbandian,43,61,34,33,125,119
quarter,Andre Agassi,2004,Andre Agassi,Sebastien Grosjean,60,25,53,30,45,30
quarter,Marat Safin,2004,Marat Safin,Andy Roddick,56,56,32,34,148,154
Fourth,Hicham Arazi,2004,Hicham Arazi,Mark Philippoussis,53,27,45,31,99,75
Fourth,Roger Federer,2004,Roger Federer,Lleyton Hewitt,56,49,40,33,123,107
Fourth,David Nalbandian,2004,David Nalbandian,Guillermo Canas,65,33,51,25,97,63
Fourth,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Andrei Pavel,61,59,39,30,133,117
Fourth,Andre Agassi,2004,Andre Agassi,Paradorn Srichaphan,53,44,41,26,112,87
Fourth,Marat Safin,2004,Marat Safin,James Blake,49,50,37,35,145,134
Fourth,Andy Roddick,2004,Andy Roddick,Sjeng Schalken,48,20,50,26,83,50
Fourth,Sebastien Grosjean,2004,Sebastien Grosjean,Robby Ginepri,57,51,43,31,112,90
Third,Roger Federer,2004,Roger Federer,Todd Reid,65,33,61,30,83,45
Third,Hicham Arazi,2004,Hicham Arazi,Albert Costa,48,43,40,38,137,121
Third,Andrei Pavel,2004,Andrei Pavel,Jiri Novak,44,48,40,39,180,180
Third,Guillermo Canas,2004,Guillermo Canas,Tim Henman,63,50,34,34,211,209
